Numero,Nome della Carta,Pianeta/Associazione,Significato Dettagliato,Parole Chiave
17,Maladie,Luna,L'uccello di preda che ghermisce la vittima indica oppressione e stanchezza. Richiede resilienza e ascolto dei propri limiti.,"Blocco, Stress, Ansia, Indebolimento"
18,Changement,Mercurio,"Movimento naturale e favorevole, come riorganizzare una stanza per renderla più armoniosa. Evoluzione non brutale.","Adattamento, Flessibilità, Rinnovamento, Scelta"
19,Argent,Mercurio,Prosperità materiale simboleggiata dalla Cornucopia. Afflusso di risorse da gestire con responsabilità.,"Abbondanza, Bonus, Sicurezza, Ricchezza"
20,Intelligence,Mercurio,Il libro e le candele indicano lucidità mentale e studio. Uso della strategia per risolvere complessità.,"Apprendimento, Chiarezza, Analisi, Sapere"
21,Vol-Perte,Mercurio,Pericolo di manipolazione o sottrazione (materiale o emotiva) da parte di terzi. Richiede estrema vigilanza.,"Furto, Inganno, Vulnerabilità, Manipolazione"
22,Entreprise,Mercurio,La figura dell'architetto: strutturare i progetti con piani solidi. Applicabile a costruzioni reali o simboliche.,"Lavoro, Organizzazione, Metodo, Progetto"
23,Trafic,Mercurio,Sotto l'influenza di Hermes: dinamismo commerciale e negoziazioni. Ruolo di mediatore in scambi vantaggiosi.,"Commercio, Dialogo, Contratto, Espansione"
24,Nouvelle,Mercurio,Nota Tecnica:  La carta più rapida. L'esito (positivo/negativo) dipende dalle carte circostanti. Arrivo improvviso di segnali.,"Messaggio, Velocità, Sorpresa, Segnale"
32,Méchanceté,Marte,"Violenza morale. La duga taglia, ma la lanterna rivela il complotto. Necessità di audacia per svelare l'inganno.","Gelosia, Complotti, Coraggio, Vigilanza"
33,Procès,Marte,Rapporto di forza legale o amministrativo. Invito a cercare un compromesso tramite la mediazione e il dialogo.,"Conflitto, Difesa, Negoziazione, Regolamento"
34,Despotisme,Marte,Archetipo del  Prigioniero di Guerra . Senso di oppressione e catene che impediscono il movimento. Ritrovare la fiducia.,"Vincoli, Sottomissione, Frustrazione, Blocco"
35,Ennemi,Marte,Ombre e ostilità nell'entourage. Richiede discernimento per individuare chi frena l'evoluzione del consultante.,"Rivalità, Pericolo, Limiti, Tossicità"
36,Pourparler,Marte,Dibattiti martiani accesi. L'uccello indica un aiuto esterno (mediatore) necessario per giungere a una decisione.,"Charisma, Diplomazia, Discussione, Mediazione"
37,Le Feu,Marte,"Simboleggiata dai  coq  (galli) in combattimento. Forza di carattere, ego e determinazione per difendere i propri valori.","Volontà, Ardire, Combattività, Convinzione"
38,Accident,Marte,"Un  terremoto  improvviso. Le torri crollano, ma l'erba che cresce tra le macerie indica la possibilità di ricostruire meglio.","Crollo, Shock, Resilienza, Rinascita"
39,Appuis,Giove,L'aquila maestosa rappresenta un mentore o una figura influente che offre tutela e risoluzione materiale.,"Sostegno, Influenza, Tutela, Protezione"
40,Beauté,Giove,Equilibrio tra sentimenti e realtà. Fioritura personale e successo nelle arti o nella creazione.,"Armonia, Soddisfazione, Arte, Serenità"
41,Héritage,Giove,Trasmissione di patrimonio. Il  crâne  (cranio) segna il confine tra ciò che è passato e ciò che viene lasciato in dote.,"Patrimonio, Passato, Memoria, Donazione"
42,Sagesse,Giove,La corona della saggezza indica autorità benevola. Visione oggettiva e prudenza prima di ogni azione.,"Discernimento, Maturità, Consiglio, Equilibrio"
43,Renommée,Giove,Consacrazione pubblica. La tromba e la corona di lauro annunciano la legittimazione ufficiale del merito.,"Celebrazione, Fama, Orgoglio, Validazione"
44,Hasard,Giove,Nota Tecnica:  Opportunità ephemera. Le ali indicano che la fortuna va colta al volo. Consultare le carte vicine per l'esito.,"Fortuna, Rapidità, Occasione, Bivio"
45,Bonheur,Giove,Appagamento totale. L'stella guida assicura che il consultante è sulla rotta giusta verso la propria luce.,"Gioia, Realizzazione, Speranza, Successo"
46,Infortune,Saturno,Rallentamento e prova di endurance. La mano tesa indica la necessità assoluta di chiedere aiuto esterno.,"Ostacoli, Fatica, Prova, Umiltà"
47,Stérilité,Saturno,Il deserto: i progetti non portano frutti. Necessità di isolarsi per tagliare l'inutile e rivalutare gli obiettivi.,"Impasse, Aridità, Riflessione, Distacco"
48,La Fatalità,Saturno,Concetto di  Karma . La Faux (falce) indica il momento del  raccolto  e della chiusura definitiva di un ciclo ineludibile.,"Fine, Taglio, Destino, Passaggio"
49,La Grazia,Saturno,Intervento divino. La Trinità e lo Spirito Santo portano guarigione inaspettata e risoluzione delle sofferenze.,"Perdono, Miracolo, Sollievo, Benedizione"
50,Ruine,Saturno,Crollo di strutture logore. La vegetazione ai piedi della torre indica che il terreno è fertile per una rinascita autentica.,"Trasformazione, Fine, Fondamenta, Rinnovamento"
51,Retard,Saturno,La ruota bloccata. Pausa forzata che invita alla prudenza e alla rivalutazione prima di procedere.,"Attesa, Delazione, Prudenza, Riflessione"
52,Cloître,Saturno,"Ritiro necessario. Può indicare ospedali, prigioni o semplicemente un rifugio dell'anima per meditare.","Solitudine, Introspezione, Cura, Silenzio"
