Numero,Nome della Carta,Pianeta/Associazione,Significato Dettagliato,Parole Chiave,,,,,,,,,,,,,,,,,,,,
,Carta Blu,Nessuno,La protezione suprema. Rappresenta la dissoluzione delle ombre e il ritorno alla calma. Agisce come uno scudo energetico.,"Pace, Protezione, Equilibrio, Serenità",,,,,,,,,,,,,,,,,,,,
26,Paix,Venere,Conciliazione dopo la tempesta. I rami di lauro indicano un accordo trovato e il silenzio rigenerante.,"Accordo, Serenità, Silenzio, Armonia",,,,,,,,Venere,Conciliazione dopo la tempesta. I rami di lauro indicano un accordo trovato e il silenzio rigenerante.,"Accordo, Serenità, Silenzio, Armonia",26,Paix,Venere,Conciliazione dopo la tempesta. I rami di lauro indicano un accordo trovato e il silenzio rigenerante.,"Accordo, Serenità, Silenzio, Armonia",26,Paix,Venere,Conciliazione dopo la tempesta. I rami di lauro indicano un accordo trovato e il silenzio rigenerante.,"Accordo, Serenità, Silenzio, Armonia"
27,Union,Venere,Legame stabile (matrimonio o partnership). Le catene simboleggiano solidarietà e impegno indissolubile.,"Contratto, Fedeltà, Associazione, Impegno",,,,,,,,Venere,Legame stabile (matrimonio o partnership). Le catene simboleggiano solidarietà e impegno indissolubile.,"Contratto, Fedeltà, Associazione, Impegno",27,Union,Venere,Legame stabile (matrimonio o partnership). Le catene simboleggiano solidarietà e impegno indissolubile.,"Contratto, Fedeltà, Associazione, Impegno",27,Union,Venere,Legame stabile (matrimonio o partnership). Le catene simboleggiano solidarietà e impegno indissolubile.,"Contratto, Fedeltà, Associazione, Impegno"
28,Famille,Venere,"Osmosi emotiva nel primo cerchio. Protezione, fiducia e potenziale fecondità (nascita di figli o strutture).","Radici, Solidarietà, Focolare, Fecondità",,,,,,,,Venere,"Osmosi emotiva nel primo cerchio. Protezione, fiducia e potenziale fecondità (nascita di figli o strutture).","Radici, Solidarietà, Focolare, Fecondità",28,Famille,Venere,"Osmosi emotiva nel primo cerchio. Protezione, fiducia e potenziale fecondità (nascita di figli o strutture).","Radici, Solidarietà, Focolare, Fecondità",28,Famille,Venere,"Osmosi emotiva nel primo cerchio. Protezione, fiducia e potenziale fecondità (nascita di figli o strutture).","Radici, Solidarietà, Focolare, Fecondità"
29,Amour,Venere,"Alchimia potente e nascente. Rappresenta l'affezione pura che motiva ogni azione, anche nel lavoro.","Tenerezza, Passione, Felicità, Sincerità",,,,,,,,Venere,"Alchimia potente e nascente. Rappresenta l'affezione pura che motiva ogni azione, anche nel lavoro.","Tenerezza, Passione, Felicità, Sincerità",29,Amour,Venere,"Alchimia potente e nascente. Rappresenta l'affezione pura che motiva ogni azione, anche nel lavoro.","Tenerezza, Passione, Felicità, Sincerità",29,Amour,Venere,"Alchimia potente e nascente. Rappresenta l'affezione pura che motiva ogni azione, anche nel lavoro.","Tenerezza, Passione, Felicità, Sincerità"
30,La Table,Venere,Convivialità. La giara simboleggia l'archetipo della  maîtresse  (amante) o di relazioni leggere e piacevoli.,"Festa, Incontro, Piaceri, Amante",,,,,,,,Venere,Convivialità. La giara simboleggia l'archetipo della  maîtresse  (amante) o di relazioni leggere e piacevoli.,"Festa, Incontro, Piaceri, Amante",30,La Table,Venere,Convivialità. La giara simboleggia l'archetipo della  maîtresse  (amante) o di relazioni leggere e piacevoli.,"Festa, Incontro, Piaceri, Amante",30,La Table,Venere,Convivialità. La giara simboleggia l'archetipo della  maîtresse  (amante) o di relazioni leggere e piacevoli.,"Festa, Incontro, Piaceri, Amante"
31,Passions,Venere,Emozioni volcaniche e incontrollabili. Intensità che può illuminare o bruciare se non canalizzata.,"Desiderio, Focosità, Eccesso, Impulsività",,,,,,,,Venere,Emozioni volcaniche e incontrollabili. Intensità che può illuminare o bruciare se non canalizzata.,"Desiderio, Focosità, Eccesso, Impulsività",31,Passions,Venere,Emozioni volcaniche e incontrollabili. Intensità che può illuminare o bruciare se non canalizzata.,"Desiderio, Focosità, Eccesso, Impulsività",31,Passions,Venere,Emozioni volcaniche e incontrollabili. Intensità che può illuminare o bruciare se non canalizzata.,"Desiderio, Focosità, Eccesso, Impulsività"
39,Appuis,Giove,L'aquila maestosa rappresenta un mentore o una figura influente che offre tutela e risoluzione materiale.,"Sostegno, Influenza, Tutela, Protezione",,,,,,,,,,,,,,,,,,,,
40,Beauté,Giove,Equilibrio tra sentimenti e realtà. Fioritura personale e successo nelle arti o nella creazione.,"Armonia, Soddisfazione, Arte, Serenità",,,,,,,,,,,,,,,,,,,,
41,Héritage,Giove,Trasmissione di patrimonio. Il  crâne  (cranio) segna il confine tra ciò che è passato e ciò che viene lasciato in dote.,"Patrimonio, Passato, Memoria, Donazione",,,,,,,,,,,,,,,,,,,,
42,Sagesse,Giove,La corona della saggezza indica autorità benevola. Visione oggettiva e prudenza prima di ogni azione.,"Discernimento, Maturità, Consiglio, Equilibrio",,,,,,,,,,,,,,,,,,,,
43,Renommée,Giove,Consacrazione pubblica. La tromba e la corona di lauro annunciano la legittimazione ufficiale del merito.,"Celebrazione, Fama, Orgoglio, Validazione",,,,,,,,,,,,,,,,,,,,
44,Hasard,Giove,Nota Tecnica:  Opportunità ephemera. Le ali indicano che la fortuna va colta al volo. Consultare le carte vicine per l'esito.,"Fortuna, Rapidità, Occasione, Bivio",,,,,,,,,,,,,,,,,,,,
45,Bonheur,Giove,Appagamento totale. L'stella guida assicura che il consultante è sulla rotta giusta verso la propria luce.,"Gioia, Realizzazione, Speranza, Successo",,,,,,,,,,,,,,,,,,,,
46,Infortune,Saturno,Rallentamento e prova di endurance. La mano tesa indica la necessità assoluta di chiedere aiuto esterno.,"Ostacoli, Fatica, Prova, Umiltà",,,,,,,,,,,,,,,,,,,,
47,Stérilité,Saturno,Il deserto: i progetti non portano frutti. Necessità di isolarsi per tagliare l'inutile e rivalutare gli obiettivi.,"Impasse, Aridità, Riflessione, Distacco",,,,,,,,,,,,,,,,,,,,
48,La Fatalità,Saturno,Concetto di  Karma . La Faux (falce) indica il momento del  raccolto  e della chiusura definitiva di un ciclo ineludibile.,"Fine, Taglio, Destino, Passaggio",,,,,,,,,,,,,,,,,,,,
49,La Grazia,Saturno,Intervento divino. La Trinità e lo Spirito Santo portano guarigione inaspettata e risoluzione delle sofferenze.,"Perdono, Miracolo, Sollievo, Benedizione",,,,,,,,,,,,,,,,,,,,
50,Ruine,Saturno,Crollo di strutture logore. La vegetazione ai piedi della torre indica che il terreno è fertile per una rinascita autentica.,"Trasformazione, Fine, Fondamenta, Rinnovamento",,,,,,,,,,,,,,,,,,,,
51,Retard,Saturno,La ruota bloccata. Pausa forzata che invita alla prudenza e alla rivalutazione prima di procedere.,"Attesa, Delazione, Prudenza, Riflessione",,,,,,,,,,,,,,,,,,,,
52,Cloître,Saturno,"Ritiro necessario. Può indicare ospedali, prigioni o semplicemente un rifugio dell'anima per meditare.","Solitudine, Introspezione, Cura, Silenzio",,,,,,,,,,,,,,,,,,,,
